15/03/2023
15:15:55 Ligou CLP
15:26:30 Ligou CLP
16:03:11 sensorMoldeAberto=1 (ant=0)
16:03:17 sensorMoldeAberto=0 (ant=1)
16:03:19 sensorAmortecimentoAbertura=0 (ant=1)
16:03:22 sensorMaquinaTravada=1 (ant=0)
16:03:27 sensorPassagemParaRecalque=0 (ant=1)
16:03:40 sensorMaquinaTravada=0 (ant=1)
16:03:41 sensorAmortecimentoFechamento=0 (ant=1)
16:03:43 sensorProtecaoMolde=1 (ant=0)
16:03:44 sensorProtecaoMolde=0 (ant=1)
16:03:51 sensorAmortecimentoAbertura=1 (ant=0)
16:03:52 sensorMoldeAberto=1 (ant=0)
16:03:55 sensorMoldeAberto=0 (ant=1)
16:03:56 sensorAmortecimentoAbertura=0 (ant=1)
16:03:58 sensorAmortecimentoFechamento=1 (ant=0)
16:03:59 sensorMaquinaTravada=1 (ant=0)
16:04:03 sensorFimDosagem=0 (ant=1)
16:04:08 sensorPassagemParaRecalque=1 (ant=0)
16:04:14 sensorPassagemParaRecalque=0 (ant=1)
16:04:16 sensorFimDosagem=1 (ant=0)
16:04:19 sensorMaquinaTravada=0 (ant=1)
16:04:20 sensorAmortecimentoFechamento=0 (ant=1)
16:04:23 sensorAmortecimentoAbertura=1 (ant=0)
16:04:24 sensorMoldeAberto=1 (ant=0)
16:05:47 pressaoFechamentoMolde=1 (ant=0)
16:05:48 pressaoAmortecFechamMolde=2 (ant=0)
16:05:49 perssaoProtecaoMolde=3 (ant=0)
16:05:54 retFechamentoMolde=20 (ant=0)
16:06:02 pressaoAberturaMolde=4 (ant=0)
16:06:03 pressaoAmortecAbertMolde=5 (ant=0)
16:06:16 pressaoIntrusao=6 (ant=0)
16:06:18 pressaoPreenchimento=7 (ant=0)
16:06:19 pressaoRecalque=8 (ant=0)
16:06:35 durResfriamento=300 (ant=0)
16:06:37 durRecalque=300 (ant=0)
16:06:42 durPreenchimento=300 (ant=0)
16:06:59 pressaoDosagem=9 (ant=0)
16:07:38 sensorAmortecimentoFechamento=1 (ant=0)
16:07:47 sensorProtecaoMolde=1 (ant=0)
16:07:53 sensorMaquinaTravada=1 (ant=0)
16:07:53 Ativou Alarme Problema nos fins de curso do Molde
16:07:53 Ativou Alarme Motor desligado
16:08:08 sensorMoldeAberto=0 (ant=1)
16:08:08 Desativou Alarme Problema nos fins de curso do Molde
16:08:09 sensorMoldeAberto=1 (ant=0)
16:08:09 Ativou Alarme Problema nos fins de curso do Molde
16:08:11 sensorMaquinaTravada=0 (ant=1)
16:08:11 Desativou Alarme Problema nos fins de curso do Molde
16:08:12 sensorAmortecimentoFechamento=0 (ant=1)
16:08:12 sensorProtecaoMolde=0 (ant=1)
16:08:29 Desativou Alarme Motor desligado
16:08:41 sensorMoldeAberto=0 (ant=1)
16:08:42 sensorAmortecimentoAbertura=0 (ant=1)
16:08:44 sensorAmortecimentoFechamento=1 (ant=0)
16:08:49 sensorProtecaoMolde=1 (ant=0)
16:08:54 sensorMaquinaTravada=1 (ant=0)
16:09:20 sensorPassagemParaRecalque=1 (ant=0)
16:09:40 sensorMaquinaTravada=0 (ant=1)
16:09:41 sensorAmortecimentoFechamento=0 (ant=1)
16:09:42 sensorProtecaoMolde=0 (ant=1)
16:09:57 sensorAmortecimentoAbertura=1 (ant=0)
16:10:01 sensorMoldeAberto=1 (ant=0)
16:41:48 Ligou CLP
16:41:49 Ativou Alarme Motor desligado
16:41:54 senhaCorrente=****
16:42:05 Desativou Alarme Motor desligado
16:42:08 sensorProtetorDiantFechado=1 (ant=0)
16:44:25 Ligou CLP
16:44:26 Ativou Alarme Motor desligado
16:45:43 Ligou CLP
16:45:43 Ativou Alarme Motor desligado
16:45:57 Desativou Alarme Motor desligado
16:46:01 sensorProtetorDiantFechado=1 (ant=0)
16:46:04 Ativou Alarme Completar curso de dosagem manualmente
16:46:13 Desativou Alarme Completar curso de dosagem manualmente
16:46:16 sensorFimDosagem=1 (ant=0)
16:46:33 sensorAmortecimentoFechamento=1 (ant=0)
16:46:35 sensorProtecaoMolde=1 (ant=0)
